diagnosis_code,en_name ,ar_name ,category
,Other specified chronic ischaemic heart disease,أمراض القلب الإقفارية المزمنة الأخرى المحددة,"Heart
disease"
,"Chronic ischaemic heart disease, unspecified",مرض القلب الإقفاري المزمن غير المحدد تقريبا,"Heart
disease"
,"Ischaemic heart diseases, unspecified",أمراض القلب الإقفارية غير المحددة تقريبا,"Heart
disease"
,"Chronic rheumatic heart diseases, not
elsewhere classified","أمراض القلب الروماتيزمية المزمنة ، وليس
مصنفة في أماكن أخرى","Heart
disease"
,"Rheumatic heart disease, unspecified",أمراض القلب الروماتيزمية غير المحددة تقريبا,"Heart
disease"
,Other specified chronic rheumatic heart disease,أمراض القلب الروماتيزمية المزمنة المحددة الأخرى,"Heart
disease"
,"Chronic rheumatic heart disease, unspecified",مرض القلب الروماتيزمي المزمن غير المحدد تقريبا,"Heart
disease"
,Mitral valve stenosis,تضيق الصمام التاجي,Heart valve diseases
,Rheumatic mitral valve stenosis,تضيق الصمام التاجي الروماتيزمي,Heart valve diseases
,Nonrheumatic mitral valve stenosis,تضيق الصمام التاجي غير الروماتيزمي,Heart valve diseases
,"Mitral valve stenosis, unspecified","تضيق الصمام التاجي، غير محدد تقريبا",Heart valve diseases
,Mitral valve insufficiency,قصور الصمام التاجي,Heart valve diseases
,Rheumatic mitral valve insufficiency,قصور الصمام التاجي الروماتيزمي,Heart valve diseases
,Other specified mitral valve insufficiency,قصور الصمام التاجي المحدد الآخر,Heart valve diseases
,"Mitral valve insufficiency, unspecified",قصور الصمام التاجي غير محدد تقريبا,Heart valve diseases
,Mitral valve prolapse,هبوط الصمام التاجي,Heart valve diseases
,Rheumatic mitral valve prolapse,هبوط الصمام التاجي الروماتيزمي,Heart valve diseases
,Degenerative mitral valve prolapse,تدلي الصمام التاجي التنكسي,Heart valve diseases
,Other specified nonrheumatic mitral valve prolapse,تدلي الصمام التاجي غير الروماتيزمي المحدد الآخر,Heart valve diseases
,"Mitral valve prolapse, unspecified",تدلي الصمام التاجي غير محدد تقريبا,Heart valve diseases
,Mitral valve stenosis with insufficiency,تضيق الصمام التاجي مع قصور,Heart valve diseases
,"Mitral valve stenosis with insufficiency, unspecified",تضيق الصمام التاجي مع قصور غير محدد تقريبا,Heart valve diseases
,Other specified mitral valve disease,أمراض الصمام التاجي المحددة الأخرى,Heart valve diseases
,"Mitral valve disease, unspecified",مرض الصمام التاجي غير المحدد تقريبا,Heart valve diseases
,Aortic valve stenosis,تضيق الصمام الأبهري,Heart valve diseases
,Rheumatic aortic valve stenosis,تضيق الصمام الأبهري الروماتيزمي,Heart valve diseases
,Nonrheumatic aortic valve stenosis,تضيق الصمام الأبهري غير الروماتيزمي,Heart valve diseases
,"Aortic valve stenosis, unspecified",تضيق الصمام الأبهري غير محدد تقريبا,Heart valve diseases
,Aortic valve insufficiency,قصور الصمام الأبهري,Heart valve diseases
,Rheumatic aortic valve insufficiency,قصور الصمام الأبهري الروماتيزمي,Heart valve diseases
,Other specified nonrheumatic aortic valve insufficiency,قصور الصمام الأبهري غير الروماتيزمي المحدد الآخر,Heart valve diseases
,"Aortic valve insufficiency, unspecified",قصور الصمام الأبهري غير محدد تقريبا,Heart valve diseases
,Aortic valve stenosis with insufficiency,تضيق الصمام الأبهري مع قصور,Heart valve diseases
,Nonrheumatic aortic valve stenosis with insufficiency,تضيق الصمام الأبهري غير الروماتيزمي مع قصور,Heart valve diseases
,"Aortic valve stenosis with insufficiency, unspecified",تضيق الصمام الأبهري مع قصور غير محدد تقريبا,Heart valve diseases
,Aortic valvar prolapse,هبوط الصمام الأبهري,Heart valve diseases
,Other specified aortic valve disease,أمراض الصمام الأبهري المحددة الأخرى,Heart valve diseases
,"Aortic valve disease, unspecified",مرض الصمام الأبهري غير محدد تقريبا,Heart valve diseases
,Tricuspid valve stenosis,تضيق الصمام ثلاثي الشرف,Heart valve diseases
,Rheumatic tricuspid valve stenosis,تضيق الصمام ثلاثي الشرف الروماتيزمي,Heart valve diseases
,Other specified nonrheumatic tricuspid valve stenosis,تضيق الصمام ثلاثي الشرف غير الروماتيزمي المحدد الآخر,Heart valve diseases
,"Tricuspid valve stenosis, unspecified","تضيق الصمام ثلاثي الشرف، غير محدد تقريبا",Heart valve diseases
,Tricuspid valve insufficiency,قصور الصمام ثلاثي الشرف,Heart valve diseases
,Rheumatic tricuspid valve insufficiency,قصور الصمام ثلاثي الشرف الروماتيزمي,Heart valve diseases
,Other specified nonrheumatic tricuspid valve insufficiency,قصور الصمام ثلاثي الشرف غير الروماتيزمي المحدد الآخر,Heart valve diseases
,"Tricuspid valve insufficiency, unspecified",قصور الصمام ثلاثي الشرف غير محدد تقريبا,Heart valve diseases
,Tricuspid valve stenosis with insufficiency,تضيق الصمام ثلاثي الشرف مع قصور,Heart valve diseases
,Rheumatic tricuspid valve stenosis with insufficiency,تضيق الصمام ثلاثي الشرف الروماتيزمي مع قصور,Heart valve diseases
,Other specified nonrheumatic tricuspid valve stenosis with insufficiency,تضيق الصمام ثلاثي الشرف غير الروماتيزمي المحدد مع القصور,Heart valve diseases
,"Tricuspid valve stenosis with insufficiency, unspecified",تضيق الصمام ثلاثي الشرف مع قصور غير محدد تقريبا,Heart valve diseases
,Other specified tricuspid valve disease,مرض الصمام ثلاثي الشرف المحدد الآخر,Heart valve diseases
,"Tricuspid valve disease, unspecified","مرض الصمام ثلاثي الشرف، غير محدد تقريبا",Heart valve diseases
,Pulmonary valve stenosis,تضيق الصمام الرئوي,Heart valve diseases
,Rheumatic pulmonary valve stenosis,تضيق الصمام الرئوي الروماتيزمي,Heart valve diseases
,Other specified nonrheumatic pulmonary valve stenosis,تضيق الصمام الرئوي غير الروماتيزمي المحدد الآخر,Heart valve diseases
,"Pulmonary valve stenosis, unspecified",تضيق الصمام الرئوي غير محدد تقريبا,Heart valve diseases
,Pulmonary valve insufficiency,قصور الصمام الرئوي,Heart valve diseases
,Rheumatic pulmonary valve insufficiency,قصور الصمام الرئوي الروماتيزمي,Heart valve diseases
,Other specified nonrheumatic pulmonary valve insufficiency,قصور الصمام الرئوي غير الروماتيزمي المحدد الآخر,Heart valve diseases
,"Pulmonary valve insufficiency, unspecified",قصور الصمام الرئوي غير محدد تقريبا,Heart valve diseases
,Pulmonary valve stenosis with insufficiency,تضيق الصمام الرئوي مع قصور,Heart valve diseases
,Rheumatic pulmonary valve stenosis with insufficiency,تضيق الصمام الرئوي الروماتيزمي مع قصور,Heart valve diseases
,Nonrheumatic pulmonary valve stenosis with insufficiency,تضيق الصمام الرئوي غير الروماتيزمي مع قصور,Heart valve diseases
,"Pulmonary valve stenosis with insufficiency, unspecified",تضيق الصمام الرئوي مع قصور غير محدد تقريبا,Heart valve diseases
,Other specified pulmonary valve disease,أمراض الصمام الرئوي الأخرى المحددة,Heart valve diseases
,"Pulmonary valve disease, unspecified",مرض الصمام الرئوي غير المحدد تقريبا,Heart valve diseases
,Multiple valve disease,مرض الصمام المتعدد,Heart valve diseases
,Prosthetic valve disease,مرض الصمام الاصطناعي,Heart valve diseases
,"Heart valve diseases, unspecified",أمراض صمامات القلب غير المحددة,Heart valve diseases
,"Rheumatic diseases of endocardium, valve unspecified","أمراض روماتيزمية الشغاف ، صمام غير محدد تقريبا",Heart valve diseases
,Postprocedural valve disorders,اضطرابات الصمام بعد الإجراءات,Heart valve diseases
,Postprocedural mitral valve stenosis,تضيق الصمام التاجي بعد الإجراء,Heart valve diseases
,Postprocedural mitral valve insufficiency,قصور الصمام التاجي بعد الإجراء,Heart valve diseases
,Postprocedural aortic valve stenosis,تضيق الصمام الأبهري بعد الإجراء,Heart valve diseases
,Postprocedural aortic valve insufficiency,قصور الصمام الأبهري بعد الإجراء,Heart valve diseases
,Postprocedural tricuspid valve stenosis,تضيق الصمام ثلاثي الشرف بعد الإجراء,Heart valve diseases
,Postprocedural tricuspid valve insufficiency,قصور الصمام ثلاثي الشرف بعد الإجراء,Heart valve diseases
,Postprocedural pulmonary valve stenosis,تضيق الصمام الرئوي بعد الإجراء,Heart valve diseases
,Postprocedural pulmonary valve insufficiency,قصور الصمام الرئوي بعد الإجراءات,Heart valve diseases
,Stenosis of the neoaortic valve of pulmonary origin,تضيق الصمام الأبهري الجديد من أصل رئوي,Heart valve diseases
,Insufficiency of the neoaortic valve of pulmonary origin,قصور الصمام الأبهري الجديد من أصل رئوي,Heart valve diseases
,Endocarditis of the neoaortic valve of pulmonary origin,التهاب الشغاف في الصمام الأبهري الجديد من أصل رئوي,Heart valve diseases
,Acquired abnormality of the neopulmonary valve,شذوذ مكتسب في الصمام الرئوي الجديد,Heart valve diseases
,Neopulmonary valve stenosis,تضيق الصمام الرئوي الحديث,Heart valve diseases
,Neopulmonary valve regurgitation,قلس الصمام الرئوي الحديث,Heart valve diseases
,Endocarditis of neopulmonary valve,التهاب الشغاف في الصمام الرئوي الحديث,Heart valve diseases
,Dysplasia of tricuspid valve,خلل التنسج في الصمام ثلاثي الشرف,Heart valve diseases
,Dysplasia of mitral valve,خلل التنسج في الصمام التاجي,Heart valve diseases
,Tetralogy of Fallot with absent pulmonary valve syndrome,رباعية فالو مع متلازمة الصمام الرئوي الغائبة,Heart valve diseases
,Bicuspid aortic valve,الصمام الأبهري ثنائي الشرف,Heart valve diseases
,Unicuspid aortic valve,الصمام الأبهري أحادي الشرف,Heart valve diseases
,Ebstein malformation of tricuspid valve,تشوه إبشتاين في الصمام ثلاثي الشرف,"Congenital heart
diseases"
,Congenital anomaly of an atrioventricular or ventriculo-arterial connection,شذوذ خلقي للاتصال الأذيني البطيني أو البطني الشرياني,"Congenital
heart diseases"
,Other specified congenital anomaly of an atrioventricular or ventriculo-arterial connection,شذوذ خلقي محدد آخر للاتصال الأذيني البطيني أو البطني الشرياني,"Congenital heart
diseases"
,"Congenital anomaly of an atrioventricular or ventriculo-arterial connection, unspecified","شذوذ خلقي للاتصال الأذيني البطيني أو البطني الشرياني ، غير محدد تقريبا","Congenital
heart diseases"
,Congenital anomaly of mediastinal vein,الشذوذ الخلقي في الوريد المنصف,"Congenital heart
diseases"
,Congenital pulmonary venous stenosis or hypoplasia,تضيق وريدي رئوي خلقي أو نقص تنسج,"Congenital heart
diseases"
,Congenital anomaly of an atrioventricular valve or atrioventricular septum,الشذوذ الخلقي للصمام الأذيني البطيني أو الحاجز الأذيني البطيني,"Congenital
heart diseases"
,Congenital anomaly of tricuspid valve,الشذوذ الخلقي للصمام ثلاثي الشرف,"Congenital
heart diseases"
,Congenital tricuspid regurgitation,قلس الصمام ثلاثي الشرف الخلقي,"Congenital heart
diseases"
,Congenital tricuspid valvar stenosis,تضيق الصمام ثلاثي الشرف الخلقي,"Congenital heart
diseases"
,Other specified congenital anomaly of tricuspid valve,شذوذ خلقي محدد آخر للصمام ثلاثي الشرف,"Congenital
heart diseases"
,"Congenital anomaly of tricuspid valve, unspecified","شذوذ خلقي للصمام ثلاثي الشرف، غير محدد تقريبا","Congenital heart
diseases"
,Congenital anomaly of mitral valve,الشذوذ الخلقي للصمام التاجي,"Congenital heart
diseases"
,Congenital mitral regurgitation,قلس الصمام التاجي الخلقي,"Congenital
heart diseases"
,Congenital mitral valvar stenosis,تضيق الصمام التاجي الخلقي,"Congenital heart
diseases"
,Congenital anomaly of mitral subvalvar apparatus,الشذوذ الخلقي لجهاز تحت الصمارية التاجي,"Congenital heart
diseases"
,Other specified congenital anomaly of mitral valve,شذوذ خلقي محدد آخر للصمام التاجي,"Congenital heart
diseases"
,"Congenital anomaly of mitral valve, unspecified",شذوذ خلقي للصمام التاجي غير محدد تقريبا,"Congenital
heart diseases"
,Other specified congenital anomaly of an atrioventricular valve or atrioventricular septum,تشوهات خلقية أخرى محددة للصمام الأذيني البطيني أو الحاجز الأذيني البطيني,"Congenital heart
diseases"
,"Congenital anomaly of an atrioventricular valve or atrioventricular septum, unspecified",شذوذ خلقي للصمام الأذيني البطيني أو الحاجز الأذيني البطيني غير محدد تقريبا,"Congenital
heart diseases"
,Congenital anomaly of a ventricle or the ventricular septum,الشذوذ الخلقي للبطين أو الحاجز البطيني,"Congenital heart
diseases"
,Congenital right ventricular outflow tract obstruction,انسداد مجرى تدفق البطين الأيمن الخلقي,"Congenital heart
diseases"
,Congenital left ventricular outflow tract obstruction,انسداد مجرى تدفق البطين الأيسر الخلقي,"Congenital
heart diseases"
,Other specified congenital anomaly of a ventricle or the ventricular septum,شذوذ خلقي محدد آخر في البطين أو الحاجز البطيني,"Congenital
heart diseases"
,"Congenital anomaly of a ventricle or the ventricular septum, unspecified",شذوذ خلقي في البطين أو الحاجز البطيني غير محدد تقريبا,"Congenital heart
diseases"
,Congenital anomaly of a ventriculo-arterial valve or adjacent regions,شذوذ خلقي للصمام البطني الشرياني أو المناطق المجاورة,"Congenital heart
diseases"
,Congenital anomaly of pulmonary valve,الشذوذ الخلقي للصمام الرئوي,"Congenital
heart diseases"
,Congenital pulmonary valvar stenosis,تضيق الصمام الرئوي الخلقي,"Congenital heart
diseases"
,Congenital pulmonary regurgitation,قلس رئوي خلقي,"Congenital heart
diseases"
,Other specified congenital anomaly of pulmonary valve,شذوذ خلقي محدد آخر للصمام الرئوي,"Congenital
heart diseases"
,"Congenital anomaly of pulmonary valve, unspecified","شذوذ خلقي في الصمام الرئوي ، غير محدد تقريبا","Congenital heart
diseases"
,Congenital pulmonary atresia,رتق الرئة الخلقي,"Congenital heart
diseases"
,Other specified congenital pulmonary atresia,رتق رئوي خلقي محدد آخر,"Congenital heart
diseases"
,"Congenital pulmonary atresia, unspecified","رتق الرئة الخلقي، غير محدد تقريبا","Congenital
heart diseases"
,Congenital anomaly of aortic valve,الشذوذ الخلقي للصمام الأبهري,"Congenital heart
diseases"
,Congenital aortic valvar stenosis,تضيق الصمام الأبهري الخلقي,"Congenital
heart diseases"
,Congenital aortic regurgitation,قلس الأبهر الخلقي,"Congenital heart
diseases"
,Other specified congenital anomaly of aortic valve,شذوذ خلقي محدد آخر في الصمام الأبهري,"Congenital heart
diseases"
,"Congenital anomaly of aortic valve, unspecified",شذوذ خلقي في الصمام الأبهري غير محدد تقريبا,"Congenital
heart diseases"
,Congenital supravalvar aortic stenosis,تضيق الأبهر فوق البالفار الخلقي,"Congenital
heart diseases"
,Congenital subaortic stenosis,تضيق تحت الأبهر الخلقي,"Congenital heart
diseases"
,Congenital subpulmonary stenosis,تضيق الخلقي تحت الرئة,"Congenital heart
diseases"
,Other specified congenital anomaly of a ventriculo-arterial valve or adjacent regions,شذوذ خلقي محدد آخر للصمام الشرياني البطني أو المناطق المجاورة,"Congenital
heart diseases"
,"Congenital anomaly of a ventriculo-arterial valve or adjacent regions, unspecified","شذوذ خلقي للصمام البطني الشرياني أو المناطق المجاورة ، غير محدد تقريبا","Congenital heart
diseases"
,Congenital anomaly of great arteries including arterial duct,الشذوذ الخلقي للشرايين الكبيرة بما في ذلك القناة الشريانية,"Congenital heart
diseases"
,Congenital aortopulmonary window,نافذة الشريان الأبهري الرئوي الخلقي,"Congenital
heart diseases"
,Congenital anomaly of pulmonary arterial tree,الشذوذ الخلقي لشجرة الشرايين الرئوية,"Congenital heart
diseases"
,Congenital anomaly of aorta or its branches,الشذوذ الخلقي للشريان الأورطي أو فروعه,"Congenital heart
diseases"
,Other specified congenital anomaly of aorta or its branches,شذوذ خلقي محدد آخر للشريان الأورطي أو فروعه,"Congenital heart
diseases"
,"Congenital anomaly of aorta or its branches, unspecified",شذوذ خلقي في الشريان الأورطي أو فروعه غير محدد تقريبا,"Congenital
heart diseases"
,Other specified congenital anomaly of great arteries including arterial duct,تشوهات خلقية أخرى محددة للشرايين الكبيرة بما في ذلك القناة الشريانية,"Congenital heart
diseases"
,"Congenital anomaly of great arteries including arterial duct, unspecified",الشذوذ الخلقي للشرايين الكبيرة بما في ذلك القناة الشريانية غير المحددة تقريبا,"Congenital
heart diseases"
,Congenital pericardial anomaly,شذوذ التامور الخلقي,"Congenital heart
diseases"
,Congenital anomaly of atrial septum,الشذوذ الخلقي للحاجز الأذيني,"Congenital heart
diseases"
,Other specified congenital anomaly of atrial septum,شذوذ خلقي محدد آخر في الحاجز الأذيني,"Congenital
heart diseases"
,"Congenital anomaly of atrial septum, unspecified",شذوذ خلقي في الحاجز الأذيني غير محدد تقريبا,"Congenital
heart diseases"
,Congenital anomaly of right atrium,شذوذ خلقي في الأذين الأيمن,"Congenital heart
diseases"
,Congenital anomaly of left atrium,شذوذ خلقي في الأذين الأيسر,"Congenital heart
diseases"
,Other specified congenital anomaly of left atrium,شذوذ خلقي محدد آخر في الأذين الأيسر,"Congenital
heart diseases"
,"Congenital anomaly of left atrium, unspecified",شذوذ خلقي في الأذين الأيسر غير محدد تقريبا,"Congenital heart
diseases"
,"Cardiac arrhythmia associated with genetic
disorder","عدم انتظام ضربات القلب المرتبط بالوراثة
اضطراب",arrhythmias
,"Other specified cardiac arrhythmia associated
with genetic disorder","عدم انتظام ضربات القلب المحدد الآخر المرتبط
مع اضطراب وراثي",arrhythmias
,"Cardiac arrhythmia associated with genetic
disorder, unspecified","عدم انتظام ضربات القلب المرتبط بالوراثة
اضطراب غير محدد تقريبا",arrhythmias
,Ventricular tachyarrhythmia,عدم انتظام ضربات القلب البطيني,arrhythmias
,Re-entry ventricular arrhythmia,عدم انتظام ضربات القلب البطيني مرة أخرى,arrhythmias
,Other specified ventricular tachyarrhythmia,تسرع النظم البطيني المحدد الآخر,arrhythmias
,"Ventricular tachyarrhythmia, unspecified",عدم انتظام ضربات القلب البطيني غير المحدد تقريبا,arrhythmias
,Supraventricular bradyarrhythmia,بطء النظم فوق البطيني,arrhythmias
,"Other specified supraventricular
bradyarrhythmia","فوق البطيني الآخر المحدد
نظم القلب",arrhythmias
,"Supraventricular bradyarrhythmia, unspecified","بطء النظم فوق البطيني ، غير محدد تقريبا",arrhythmias
,Supraventricular tachyarrhythmia,عدم انتظام ضربات القلب فوق البطيني,arrhythmias
,"Other specified supraventricular
tachyarrhythmia","فوق البطيني الآخر المحدد
عدم انتظام ضربات القلب",arrhythmias
,"Supraventricular tachyarrhythmia, unspecified","عدم انتظام ضربات القلب فوق البطيني ، غير محدد تقريبا",arrhythmias
,Other specified cardiac arrhythmia,عدم انتظام ضربات القلب المحدد الآخر,arrhythmias
,"Cardiac arrhythmia, unspecified",عدم انتظام ضربات القلب غير المحدد تقريبا,arrhythmias
,"Dilated cardiomyopathy secondary to viral
myocarditis","اعتلال عضلة القلب التوسعي الثانوي للفيروسي
التهاب عضلة القلب","Cardiomyo
pathy"
,Ischaemic cardiomyopathy,اعتلال عضلة القلب الإقفاري,"coronary
artery diseases"
,Dilated cardiomyopathy,اعتلال عضلة القلب التوسعي,"Cardiomyo
pathy"
,Familial-genetic dilated cardiomyopathy,اعتلال عضلة القلب التوسعة الوراثي العائلي,"Cardiomyo
pathy"
,Nonfamilial dilated cardiomyopathy,اعتلال عضلة القلب التوسعي غير العائلي,"Cardiomyo pathy/Hem ochromatos
is"
,"Dilated cardiomyopathy, unspecified",اعتلال عضلة القلب التوسعي غير المحدد تقريبا,"Cardiomyo
pathy"
,Hypertrophic cardiomyopathy,اعتلال عضلة القلب الضخامي,"Cardiomyo
pathy"
,Familial-genetic hypertrophic cardiomyopathy,اعتلال عضلة القلب الضخامي الوراثي العائلي,"Cardiomyo
pathy"
,Non-obstructive hypertrophic cardiomyopathy,اعتلال عضلة القلب الضخامي غير الانسدادي,"Cardiomyo
pathy"
,Obstructive hypertrophic cardiomyopathy,اعتلال عضلة القلب الضخامي الانسدادي,"Cardiomyo
pathy"
,Other specified hypertrophic cardiomyopathy,اعتلال عضلة القلب الضخامي المحدد الآخر,"Cardiomyo
pathy"
,"Hypertrophic cardiomyopathy, unspecified","اعتلال عضلة القلب الضخامي, غير محدد تقريبا","Cardiomyo
pathy"
,Restrictive cardiomyopathy,اعتلال عضلة القلب المقيد,"Cardiomyo
pathy"
,Nonfamilial restrictive cardiomyopathy,اعتلال عضلة القلب المقيد غير العائلي,"Cardiomyo
pathy"
,Other specified restrictive cardiomyopathy,اعتلال عضلة القلب التقييدي المحدد الآخر,"Cardiomyo pathy/Hem ochromatos
is"
,"Restrictive cardiomyopathy, unspecified","اعتلال عضلة القلب التقييدي، غير محدد تقريبا","Cardiomyo
pathy"
,Arrhythmogenic ventricular cardiomyopathy,اعتلال عضلة القلب البطيني عدم انتظام ضربات القلب,"Cardiomyo
pathy"
,Noncompaction cardiomyopathy,اعتلال عضلة القلب غير الانضغاطي,"Cardiomyo
pathy"
,Chronic total occlusion of coronary artery,الانسداد الكلي المزمن للشريان التاجي,"coronary
artery diseases"
,Coronary microvascular disease,أمراض الأوعية الدموية الدقيقة التاجية,"coronary
artery diseases"
,Other specified diseases of coronary artery,أمراض أخرى محددة في الشريان التاجي,"coronary artery
diseases"
,"Diseases of coronary artery, unspecified",أمراض الشريان التاجي غير المحددة تقريبا,"coronary
artery diseases"
,Acquired coronary sinus abnormality,شذوذ الجيوب التاجية المكتسبة,"coronary
artery diseases"
,Cardiac transplant associated coronary allograft vasculopathy,اعتلال الأوعية الدموية الخيفي التاجي المرتبط بزراعة القلب,"coronary artery
diseases"
,"Structural developmental anomaly of heart or great vessels, unspecified","شذوذ النمو الهيكلي للقلب أو الأوعية الدموية الكبيرة ، غير محدد تقريبا","Congenital heart diseases/co ronary artery
diseases"
,Other specified structural developmental anomaly of heart or great vessels,شذوذ تنمائي هيكلي محدد آخر للقلب أو الأوعية الكبيرة,"Congenital heart
diseases"
,"Angina pectoris, unspecified",الذبحة الصدرية غير المحددة,"coronary artery
diseases"
,Congestive heart failure,قصور القلب الاحتقاني,"Heart
failure"
,Left ventricular failure,فشل البطين الأيسر,"Heart
failure"
,"Left ventricular failure with preserved ejection
fraction","فشل البطين الأيسر مع الطرد المحفوظ
جزء","Heart
failure"
,"Left ventricular failure with mid range ejection
fraction","فشل البطين الأيسر مع طرد متوسط المدى
جزء","Heart
failure"
,"Left ventricular failure with reduced ejection
fraction","فشل البطين الأيسر مع انخفاض القذف
جزء","Heart
failure"
,"Left ventricular failure, unspecified",فشل البطين الأيسر غير محدد تقريبا,"Heart
failure"
,High output syndromes,متلازمات الناتج العالي,"Heart
failure"
,Right ventricular failure,فشل البطين الأيمن,"Heart
failure"
,Biventricular failure,فشل البطينين,"Heart
failure"
,Other specified heart failure,قصور القلب المحدد الآخر,"Heart
failure"
,"Heart failure, unspecified",قصور القلب غير المحدد تقريبا,"Heart
failure"
,Hereditary haemolytic anaemia,فقر الدم الانحلالي الوراثي,"Hereditary
anaemia"
,Alpha thalassaemia,ثلاسيميا ألفا,"Thalassaem
ias"
,Mild alpha thalassaemia diseases,أمراض ثلاسيميا ألفا الخفيفة,"Thalassaem
ias"
,"Homozygous or compound heterozygous alpha0
thalassaemia","متماثل الزيجوت أو مركب متغاير الزيجوت ألفا0
الثلاسيميا","Thalassaem
ias"
,Other specified alpha thalassaemia,ثلاسيميا ألفا المحددة الأخرى,"Thalassaem
ias"
,"Alpha thalassaemia, unspecified","ثلاسيميا ألفا، غير محدد تقريبا","Thalassaem
ias"
,Alpha thalassaemia related syndromes,متلازمات الثلاسيميا ألفا ذات الصلة,Thalassaem ias/mental retardation
,Beta thalassaemia,بيتا ثلاسيميا,"Thalassaem
ias"
,"Delta, delta-beta or gamma-delta-beta
thalassaemia","دلتا أو دلتا بيتا أو جاما دلتا بيتا
الثلاسيميا","Thalassaem
ias"
,Other specified thalassaemias,الثلاسيميا المحددة الأخرى,"Thalassaem
ias"
,"Thalassaemias, unspecified",الثلاسيميا غير المحددة,"Thalassaem
ias"
,"Haemoglobin C/beta thalassaemia compound
heterozygosity","مركب الهيموجلوبين C / بيتا ثلاسيميا
تغاير الزيجوت","Thalassaem
ias"
,"Sickle cell disorders or other
haemoglobinopathies","اضطرابات فقر الدم المنجلي أو غيرها
اعتلال الهيموغلوبين",Sickle cell
,Sickle cell trait,سمة فقر الدم المنجلي,Sickle cell
,Sickle cell disease without crisis,مرض فقر الدم المنجلي بدون أزمات,Sickle cell
,Sickle cell disease with crisis,مرض فقر الدم المنجلي مع أزمة,Sickle cell
,Other specified sickle cell disorders or other haemoglobinopathies,اضطرابات فقر الدم المنجلي المحددة الأخرى أو اعتلال الهيموغلوبين الأخرى,Sickle cell
,"Sickle cell disorders or other
haemoglobinopathies, unspecified","اضطرابات فقر الدم المنجلي أو غيرها
اعتلال الهيموغلوبين، غير محدد تقريبا",Sickle cell
,Hereditary elliptocytosis,كثرة الخلايا الإهليلجية الوراثية,"Spherocyto
sis"
,Pernicious anaemia,فقر الدم الخبيث,"Pernicious
anaemia"
,Aplastic anaemia,فقر الدم اللاتنسجي,"Aplastic
anaemia"
,Congenital aplastic anaemia,فقر الدم اللاتنسجي الخلقي,"Aplastic
anaemia"
,Acquired aplastic anaemias,فقر الدم اللاتنسجي المكتسب,"Aplastic
anaemia"
,Drug-induced aplastic anaemia,فقر الدم اللاتنسجي الناجم عن الأدوية,"Aplastic
anaemia"
,Aplastic anaemia due to other external agents,فقر الدم اللاتنسجي بسبب عوامل خارجية أخرى,"Aplastic
anaemia"
,Idiopathic aplastic anaemia,فقر الدم اللاتنسجي مجهول السبب,"Aplastic
anaemia"
,Other specified acquired aplastic anaemias,فقر الدم اللاتنسجي المكتسب المحدد الآخر,"Aplastic
anaemia"
,"Acquired aplastic anaemias, unspecified","فقر الدم اللاتنسجي المكتسب ، غير محدد تقريبا","Aplastic
anaemia"
,"Aplastic anaemia, unspecified",فقر الدم اللاتنسجي غير المحدد تقريبا,"Aplastic
anaemia"
,Haemophilia A,الهيموفيليا أ,"Haemophili
a"
,Haemophilia B,الهيموفيليا ب,"Haemophili
a"
,Haemophilia C,الهيموفيليا ج,"Haemophili
a"
,Acquired haemophilia,الهيموفيليا المكتسبة,"Haemophili
a"
,Haemophilic arthropathy,اعتلال المفاصل الموحى للدم,"Haemophili
a"
,Hereditary factor VIII deficiency,نقص العامل الثامن الوراثي,other Coagulation factor deficiencies
,Hereditary factor VIII deficiency with anti-factor VIII inhibitor,نقص العامل الثامن الوراثي مع مثبط العامل الثامن المضاد,other Coagulation factor deficiencies
,Other specified hereditary factor VIII deficiency,نقص العامل الثامن الوراثي المحدد الآخر,other Coagulation factor deficiencies
,"Hereditary factor VIII deficiency, unspecified",نقص العامل الثامن الوراثي غير محدد,other Coagulation factor deficiencies
,Hereditary factor IX deficiency,نقص العامل التاسع الوراثي,other Coagulation factor deficiencies
,Other specified hereditary factor IX deficiency,نقص العامل التاسع الوراثي المحدد الآخر,other Coagulation factor deficiencies
,"Hereditary factor IX deficiency, unspecified",نقص العامل التاسع الوراثي غير المحدد تقريبا,other Coagulation factor deficiencies
,Von Willebrand disease,مرض فون ويلبراند,other Coagulation factor deficiencies
,Other inherited coagulation factor deficiency with bleeding tendency,نقص عامل التخثر الوراثي الآخر مع الميل إلى النزيف,other Coagulation factor deficiencies
,Hereditary deficiency of factor I,النقص الوراثي للعامل الأول,other Coagulation factor deficiencies
,Hereditary factor X deficiency,نقص العامل X الوراثي,other Coagulation factor deficiencies
,Combined deficiency of vitamin K-dependent clotting factors,النقص المشترك لعوامل التخثر المعتمدة على فيتامين ك,other Coagulation factor deficiencies
,"Other inherited coagulation factor deficiency with bleeding tendency, unspecified","نقص عامل التخثر الوراثي الآخر مع ميل النزيف ، غير محدد تقريبا",other Coagulation factor deficiencies
,Inherited coagulation factor deficiency without bleeding tendency,نقص عامل التخثر الوراثي دون ميل النزيف,other Coagulation factor deficiencies
,"Congenital or constitutional haemorrhagic condition, unspecified","حالة نزفية خلقية أو دستورية، غير محددة تقريبا",other Coagulation factor deficiencies
,Haemorrhage due to thrombin inhibitor other than heparin,نزيف بسبب مثبطات الثرومبين غير الهيبارين,other Coagulation factor deficiencies
