International non-proprietary name (INN)-8-mg/4ml-Dosage form,Proprietary (Trade) name,Prescribing level,Pre-AuthorizationProtocol
Sildenafil 50/Orally,Silden 50 mg 4 tab,أخصائي,Conditional Pre-authorization
Sildenafil 50/Orally,Virecta 50 mg 10 tab,أخصائي,Conditional Pre-authorization
Sildenafil 50/Orally,Virecta 50 mg 30 tab,أخصائي,Conditional Pre-authorization
Sildenafil 50/Orally,Viagra 50 mg 4 tab,أخصائي,Conditional Pre-authorization
Sildenafil 100/Orally,Brilliant 100 mg 8 tab,أخصائي,Conditional Pre-authorization
Sildenafil 100/Orally,Brilliant 100 mg 4 tab,أخصائي,Conditional Pre-authorization
Sildenafil 100/Orally,Ectagor 100 mg 4 tab,أخصائي,Conditional Pre-authorization
Sildenafil 100/Orally,Ectagor 100 mg 12 tab,أخصائي,Conditional Pre-authorization
Sildenafil 100/Orally,Stimu-Max 100 mg 5 tab,أخصائي,Conditional Pre-authorization
Sildenafil 100/Orally,Viagra 100 mg 4 tab,أخصائي,Conditional Pre-authorization
Bosentan 62.5/Orally,BOSENTADIN 62.5 mg 10 tab,استشاري,Pre-authorization
Bosentan 62.5/Orally,Pulmiprove  62.5 mg 10 tab,استشاري,Pre-authorization
Bosentan 62.5/Orally,Pulmiprove  62.5 mg 30 tab,استشاري,Pre-authorization
Bosentan 125/Orally,BOSENTADIN 125 mg 10 tab,استشاري,Pre-authorization
Bosentan 125/Orally,Pulmiprove  125 mg 10 tab,استشاري,Pre-authorization
Bosentan 125/Orally,Pulmiprove  125 mg 30 tab,استشاري,Pre-authorization
Macitentan 10/Orally,Opsumit 10 mg 30 tab,استشاري,Pre-authorization
Macitentan 10/Orally,Opsumit 10 mg 15 tab,استشاري,Pre-authorization
"Erythropoietin 2000/I.V, S.C",EPOETIN 2000 I.U./ml vial,أخصائي,Protocol
"Erythropoietin 2000/I.V, S.C",EPREX 2000 I.U./0.5ml 6 PFS,أخصائي,Protocol
"Erythropoietin 2000/I.V, S.C",EPREX 2000 I.U./0.5ml PFS,أخصائي,Protocol
"Erythropoietin 3000/I.V, S.C",EPREX 3000 I.U./0.3ml 6 PFS,أخصائي,Protocol
"Erythropoietin 3000/I.V, S.C",EPREX 3000 I.U./0.3ml PFS,أخصائي,Protocol
"Erythropoietin 4000/I.V, S.C",Epoetin Sedico 4000 I.U./ml  vial,أخصائي,Protocol
"Erythropoietin 4000/I.V, S.C",EPIAO 4000 I.U./ml vial,أخصائي,Protocol
"Erythropoietin 4000/I.V, S.C",Eposino 4000 I.U./ml 1 PFS,أخصائي,Protocol
"Erythropoietin 4000/I.V, S.C",Eprex 4000 I.U./0.4ml 6 PFS,أخصائي,Protocol
"Erythropoietin 4000/I.V, S.C",Eprex 4000 I.U./0.4ml 1 PFS,أخصائي,Protocol
"Epoetin beta 2000/I.V, S.C",RECORMON 2000 I.U./0.3ml 6 PFS,استشاري,Pre-authorization
"Epoetin beta 2000/I.V, S.C",RECORMON 2000 I.U./0.3ml 1 PFS,استشاري,Pre-authorization
"Epoetin beta 4000/I.V, S.C",Recormon 4000  I.U./0.3 ml 6 PFS,استشاري,Pre-authorization
"Epoetin beta 4000/I.V, S.C",Recormon 4000 I.U./0.3 ml 1 PFS,استشاري,Pre-authorization
"Epoetin beta 5000/I.V, S.C",RECORMON 5000 I.U./0.3 ml 6 PFS,استشاري,Pre-authorization
"Epoetin beta 5000/I.V, S.C",RECORMON 5000 I.U./0.3 ml 1 PFS,استشاري,Pre-authorization
"Darbepoetin  10/I.V, S.C",Aranesp 10mcg/0.4ml 4 PFS,استشاري,Pre-authorization
"Darbepoetin  10/I.V, S.C",Aranesp 10mcg/0.4ml 1 PFS,استشاري,Pre-authorization
"Darbepoetin  20/I.V, S.C",Aranesp 20 mcg/0.5ml 1 PFS,استشاري,Pre-authorization
"Darbepoetin  30/I.V, S.C",ARANESP 30mcg /0.3ml 4 PFS,استشاري,Pre-authorization
"Darbepoetin  30/I.V, S.C",ARANESP 30mcg /0.3ml 1 PFS,استشاري,Pre-authorization
"Darbepoetin  40/I.V, S.C",Aranesp 40 mcg/0.4 ml 4 PFS,استشاري,Pre-authorization
"Darbepoetin  40/I.V, S.C",Aranesp 40 mcg/0.4 ml 1 PFS,استشاري,Pre-authorization
"Darbepoetin  60/I.V, S.C",Aranesp 60mcg/0.3ml 4 PFS,استشاري,Pre-authorization
"Darbepoetin  60/I.V, S.C",Aranesp 60mcg/0.3ml 1 PFS,استشاري,Pre-authorization
Warfarin 1/Orally,MAREVAN 1mg 100 tab,طبيب أسرة,No
Warfarin 2/Orally,HAEMOFARIN 2 mg 100 tab,طبيب أسرة,No
Warfarin 3/Orally,Marevan 3 mg 100 tab,طبيب أسرة,No
Warfarin 3/Orally,MARIVANIL 3 mg 50 tab,طبيب أسرة,No
Warfarin 3/Orally,MARIVANIL 3 mg 10 tab,طبيب أسرة,No
Warfarin 5/Orally,Haemofarin 5 mg 100 tab,طبيب أسرة,No
"Enoxaparin 20/I.V, S.C",Exapine 20mg/0.2ml 2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 20/I.V, S.C",Exapine 20mg/0.2ml 1 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 20/I.V, S.C",Clexane 20mg/0.2ml 2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 20/I.V, S.C",Clexane 20mg/0.2ml 1 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 40/I.V, S.C",Exapine 40mg/0.4ml 2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 40/I.V, S.C",Exapine 40mg/0.4ml 1 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 40/I.V, S.C",Clexane 40mg/0.4ml 2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 40/I.V, S.C",Clexane 40mg/0.4ml 1 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 60/I.V, S.C",Exapine 60mg/0.6ml  2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 60/I.V, S.C",Exapine 60mg/0.6ml  1 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 60/I.V, S.C",Clexane 60mg/0.6ml 2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 60/I.V, S.C",Clexane 60mg/0.6ml 1 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 80/I.V, S.C",Exapine 80mg/0.8ml 2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 80/I.V, S.C",Exapine 80mg/0.8ml 1 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 80/I.V, S.C",Clexane  80mg/0.8ml 2 PFS,أخصائي,Conditional Pre-authorization
"Enoxaparin 80/I.V, S.C",Clexane  80mg/0.8ml 1 PFS,أخصائي,Conditional Pre-authorization
"Fondaparinux 2.5/I.V, I.V infusion, S.C",ARIXTRA 2.5mg/0.5ml 10 PFS,أخصائي,pre-authorization
"Fondaparinux 2.5/I.V, I.V infusion, S.C",ARIXTRA 2.5mg/0.5ml 1 PFS,أخصائي,pre-authorization
"Fondaparinux 7.5/I.V, I.V infusion, S.C",ARIXTRA 7.5 mg0.6 ml 10 PFS,أخصائي,pre-authorization
"Fondaparinux 7.5/I.V, I.V infusion, S.C",ARIXTRA 7.5 mg0.6 ml 1 PFS,أخصائي,pre-authorization
Apixaban 2.5/Orally,Artixiban 2.5 mg  30 Tab,أخصائي,Protocol
Apixaban 2.5/Orally,Artixiban 2.5 mg  10 Tab,أخصائي,Protocol
Apixaban 2.5/Orally,Elimbosis 2.5mg 30 tabs,أخصائي,Protocol
Apixaban 2.5/Orally,Elimbosis 2.5mg 10 tab ,أخصائي,Protocol
Apixaban 2.5/Orally,Eliquis 2.5 mg 20 tab,أخصائي,Protocol
Apixaban 2.5/Orally,Eliquis 2.5 mg 10 tab,أخصائي,Protocol
Apixaban 5/Orally,Artixiban 5 mg 30 tab,أخصائي,Protocol
Apixaban 5/Orally,Artixiban 5 mg 10 tab,أخصائي,Protocol
Apixaban 5/Orally,Elimbosis 5 mg 30 tab,أخصائي,Protocol
Apixaban 5/Orally,Elimbosis 5 mg 10 tab,أخصائي,Protocol
Apixaban 5/Orally,Eliquis 5 mg 20 tab,أخصائي,Protocol
Apixaban 5/Orally,Eliquis 5 mg 10 tab,أخصائي,Protocol
Rivaroxaban 2.5/Orally,Repatoxaban 2.5 mg 10 tab,أخصائي,Protocol
Rivaroxaban 10/Orally,Andorivaban 10mg 20 tab,أخصائي,Protocol
Rivaroxaban 10/Orally,Andorivaban 10mg 10 tab,أخصائي,Protocol
Rivaroxaban 10/Orally,Rivaxarelt 10 mg 10 tab,أخصائي,Protocol
Rivaroxaban 10/Orally,Rivaxarelt 10 mg 5 tab,أخصائي,Protocol
Rivaroxaban 10/Orally,Repatoxaban 10 mg 10 tab,أخصائي,Protocol
Rivaroxaban 10/Orally,XARELTO 10 mg 10 tab,أخصائي,Protocol
Rivaroxaban 15/Orally,Repatoxaban 15 mg 10 tab,أخصائي,Protocol
Rivaroxaban 15/Orally,Repatoxaban 15 mg 30 tab,أخصائي,Protocol
Rivaroxaban 15/Orally,Vaxato 15 mg 10 tab,أخصائي,Protocol
Rivaroxaban 15/Orally,Vaxato 15 mg 30 tab,أخصائي,Protocol
Rivaroxaban 15/Orally,Xarelto 15 mg 42 tab,أخصائي,Protocol
Rivaroxaban 15/Orally,Xarelto 15 mg 14 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,Repatoxaban 20 mg 10 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,Repatoxaban 20 mg 30 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,Rivaxarelt 20mg 10 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,Rivaxarelt 20mg 30 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,Vaxato 20 mg 10 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,Vaxato 20 mg 30 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,XARELTO 20 mg 28 tab,أخصائي,Protocol
Rivaroxaban 20/Orally,XARELTO 20 mg 14tab,أخصائي,Protocol
"Heparin Sodium 5000/I.V, I.V infusion, S.C",HEPARIN SODIUM-ALLMED 5000I.U./ml Amp.,طبيب أسرة,Protocol
"Heparin Sodium 5000/I.V, I.V infusion, S.C",HEPARIN SODIUM-CID 5000I.U./ml Amp,طبيب أسرة,Protocol
"Heparin Sodium 5000/I.V, I.V infusion, S.C",HEPARIN SODIUM-EL NILE (U.S.P 27) 5000I.U./ml 3 Amp,طبيب أسرة,Protocol
"Heparin Sodium 5000/I.V, I.V infusion, S.C",HEPARIN SODIUM-EL NILE (U.S.P 27) 5000I.U./ml  Amp,طبيب أسرة,Protocol
"Heparin Calcium 5000/I.V, I.V infusion, S.C","Cal-Heparine 5000 I.U./0.5 ml 3 Amp
",طبيب أسرة,Protocol
"Heparin Calcium 5000/I.V, I.V infusion, S.C","Cal-Heparine 5000 I.U./0.5 ml Amp
",طبيب أسرة,Protocol
Ticagrelor 90/Orally,Thrombolinta 90 mg  10 tab,استشاري,Conditional Pre-authorization
Ticagrelor 90/Orally,Thrombolinta 90 mg 30 tab,استشاري,Conditional Pre-authorization
Ticagrelor 90/Orally,Ticaloguard 90 mg 10 tab,استشاري,Conditional Pre-authorization
Ticagrelor 90/Orally,Ticaloguard 90 mg 30 tab,استشاري,Conditional Pre-authorization
Ticagrelor 90/Orally,Brilique 90 mg  56 tab,استشاري,Conditional Pre-authorization
Ticagrelor 90/Orally,Brilique 90 mg 14 tab,استشاري,Conditional Pre-authorization
"Etamsylate 250/I.M, I.V",Etamsylate-INAD pharma 250mg/2ml Amp,طبيب أسرة,No
"Etamsylate 250/I.M, I.V",Dicynone250mg/2ml 3 amp,طبيب أسرة,No
"Etamsylate 250/I.M, I.V",Dicynone250mg/2ml amp,طبيب أسرة,No
Etamsylate 250/Orally,Haemostatine 250 mg 30 tab,طبيب أسرة,No
Etamsylate 250/Orally,Haemostatine 250 mg 10 tab,طبيب أسرة,No
Etamsylate 500/Orally,Dicynone 500 mg 14 tab,طبيب أسرة,No
Etamsylate 500/Orally,Dicynone 500 mg 7 tab,طبيب أسرة,No
Phytomenadione (Vitamin K1) 10/I.M,AMRI-K 10mg/1ml 5 amp,طبيب أسرة,No
Phytomenadione (Vitamin K1) 10/I.M,AMRI-K 10mg/1ml amp,طبيب أسرة,No
Phytomenadione (Vitamin K1) 10/I.M,EPIKAVIT 10 mg/ml 3 Amp,طبيب أسرة,No
Phytomenadione (Vitamin K1) 10/I.M,EPIKAVIT 10 mg/ml Amp,طبيب أسرة,No
Phytomenadione (Vitamin K1) 10/Orally,CONA-ADIONE 10 mg 10 tab,طبيب أسرة,No
Phytomenadione (Vitamin K1) 10/Orally,CONA-ADIONE 10mg 30 tab,طبيب أسرة,No
Phytomenadione (Vitamin K1) 10/Orally,CONA-ADIONE 10 mg 100 tab ,طبيب أسرة,No
Tranexamic acid 500/Orally,KAPRON 500 mg 20 tab,طبيب أسرة,No
Tranexamic acid 500/Orally,KAPRON 500 mg 10 tab,طبيب أسرة,No
"Tranexamic acid 500/I.V, I.V infusion",HEMOXAMINE 500mg/5ml  5 amp ,طبيب أسرة,No
"Tranexamic acid 500/I.V, I.V infusion",HEMOXAMINE 500mg/5ml  amp ,طبيب أسرة,No
Ascorbic acid + Rutoside 60/160Orally,RUTA-C 60/160 mg 20 tab,طبيب أسرة,No
Ascorbic acid + Rutoside 60/160Orally,RUTA-C 60/160 mg 10 tab,طبيب أسرة,No
Diosmin + Hesperidin + Ascorbic Acid 450/50/100 Orally,Venowest 450/50 mg 10 tab,طبيب أسرة,No
Diosmin + Hesperidin + Ascorbic Acid 450/50/100 Orally,Venowest 450/50 mg 30 tab,طبيب أسرة,No
Diosmin + Hesperidin 450/50Orally,Daflon 500 mg 30 tab,طبيب أسرة,No
Diosmin + Hesperidin 450/50Orally,Daflon 500 mg 15 tab,طبيب أسرة,No
Diosmin 600/Orally,Vascomedra 600 mg 30 tab,طبيب أسرة,No
Diosmin 600/Orally,Vascomedra 600 mg 10 tab,طبيب أسرة,No
Calcium Dobesilate 500/Orally,DOXIUM 500 mg 30 cap,طبيب أسرة,No
Calcium Dobesilate 500/Orally,DOXIUM 500 mg 6 cap,طبيب أسرة,No
Deferiprone 500/Orally,kelfer 500 mg 50 cap,استشاري,Protocol
Deferasirox 500/Orally,Andorasirox 500mg 20 tab,استشاري,Protocol
Deferasirox 500/Orally,Andorasirox 500 mg 10 tab,استشاري,Protocol
Deferasirox 90/Orally,Jadenu 90 mg 30 tab,استشاري,Protocol
Deferasirox 90/Orally,Jadenu 90 mg 10 tab,استشاري,Protocol
Deferasirox 180/Orally,Jadenu 180 mg 30 tab,استشاري,Protocol
Deferasirox 180/Orally,Jadenu 180 mg 10 tab,استشاري,Protocol
Deferasirox 360/Orally,Jadenu 360 mg 30 tab,استشاري,Protocol
Deferasirox 360/Orally,Jadenu 360 mg 10 tab,استشاري,Protocol
"Deferoxamine 500/I.M, I.V infusion, S.C",Desferal 500 mg 10 vial ,استشاري,Protocol
"Deferoxamine 500/I.M, I.V infusion, S.C",Desferal 500 mg vial ,استشاري,Protocol
Eltrombopag 25/Orally,Revolade 25 mg 14 tab ,استشاري,Pre-authorization
Eltrombopag 25/Orally,Revolade 25 mg 7 tab ,استشاري,Pre-authorization
Eltrombopag 50/Orally,Versapenia 50 mg 10 tab ,استشاري,Pre-authorization
Eltrombopag 50/Orally,Versapenia 50 mg 30 tab ,استشاري,Pre-authorization
Eltrombopag 50/Orally,Revolade 50 mg 14 tab ,استشاري,Pre-authorization
Eltrombopag 50/Orally,Revolade 50 mg 7 tab ,استشاري,Pre-authorization
Romiplostim 250/S.C,Nplate 250 mcg vial,استشاري,Pre-authorization
Anagrelide 0.57/Orally,THROMBONORM 0.57 mg 100 cap,استشاري,Pre-authorization
Anagrelide 0.57/Orally,THROMBONORM 0.57 mg 10 cap,استشاري,Pre-authorization
Tetracosactide  1/I.M,Adrenocortine 1 mg1ml amp,أخصائي,No
"Hydrocortisone sodium succinate 100/I.M, I.V, I.V infusion",Hydrocortisone as Sodium Succinate 100 mg vial,أخصائي,No
"Hydrocortisone sodium succinate 100/I.M, I.V, I.V infusion",FLEBOCORTID 100 mg vial,أخصائي,No
Prednisolone 15/Orally,Xilone Forte 15mg/5ml 100 ml syrup,طبيب أسرة,No
Prednisolone 15/Orally,"Pedicort Forte 15mg/5ml 100ml syrup
",طبيب أسرة,No
Prednisolone 15/Orally,"Hostapred Forte 15mg/5ml 100ml syrup
",طبيب أسرة,No
Prednisolone 5/Orally,UNIPRIDOL 5mg/5ml  100 ml syrup,طبيب أسرة,No
Prednisolone 5/Orally,PEDICORT  5mg/5ml 100 ml syrup ,طبيب أسرة,No
Prednisolone 5/Orally,PREDNISOLONE 5 mg 20 tab,طبيب أسرة,No
Prednisolone 5/Orally,PREDNISOLONE 5 mg 10 tab,طبيب أسرة,No
Prednisolone 5/Orally,PREDILONE 5 mg 250 tab,طبيب أسرة,No
Prednisolone 5/Orally,PREDILONE 5 mg 10 tab,طبيب أسرة,No
Prednisolone 5/Orally,Epicopred 5 mg 30 tab,طبيب أسرة,No
Prednisolone 5/Orally,Epicopred 5 mg 10 tab,طبيب أسرة,No
Prednisolone 20/Orally,Epicopred 20 mg 20 tab,طبيب أسرة,No
Prednisolone 20/Orally,Epicopred 20 mg 10 tab,طبيب أسرة,No
Prednisolone 20/Orally,Disprelone - OD 20 mg 20 tab,طبيب أسرة,No
Prednisolone 20/Orally,Disprelone - OD 20 mg 30 tab,طبيب أسرة,No
Prednisolone 20/Orally,Disprelone - OD 20 mg 10 tab,طبيب أسرة,No
Prednisolone 20/Orally,PREDNISOLONE 20 mg 20 tab,طبيب أسرة,No
Prednisolone 20/Orally,PREDNISOLONE 20 mg 10tab,طبيب أسرة,No
Prednisolone 20/Orally,DISPRELONE - D 20 mg 20 tab,طبيب أسرة,No
Prednisolone 20/Orally,DISPRELONE - D 20 mg 10 tab,طبيب أسرة,No
Methylprednisolone 40/I.M,EPIZOLONE- DEPOT 40 mg1ml injection  vial,أخصائي,No
"Methylprednisolone 500/Slow I.V, Slow I.V infusion",Methylprednisolone Viatris 500 mg vial,أخصائي,No
"Methylprednisolone 1000/Slow I.V, Slow I.V infusion",Methylprednisolone Viatris 1 gm vial,أخصائي,No
Triamcinolone 4/Orally,Kenacort 4 mg 100 tab,أخصائي,No
Triamcinolone 4/Orally,Kenacort 4 mg 10 tab,أخصائي,No
Triamcinolone 40/I.M,EPIRELEFAN 40mg/ml  vial,أخصائي,No
"Triamcinolone 40/I.M, Intra-articular",Synthecortin 40mg/ml vial,أخصائي,No
Dexamethasone + Chloropheneramine 10/40Orally,PHENADONE 125 ml syrup,طبيب أسرة,No
Dexamethasone + Chloropheneramine 0.5/2Orally,DEXAPHEN  120 ml syrup ,طبيب أسرة,No
Dexamethasone 10/Orally,ORAZONE 0.5mg/5ml  120 ml syrup,طبيب أسرة,No
Dexamethasone 0.75/Orally,Deltasone 0.75 mg 30 tab,طبيب أسرة,No
Dexamethasone 0.75/Orally,Deltasone 0.75 mg 10 tab,طبيب أسرة,No
Dexamethasone 0.5/Orally,ORAZONE 0.5 mg 20 tab,طبيب أسرة,No
Dexamethasone 0.5/Orally,ORAZONE 0.5 mg 10 tab,طبيب أسرة,No
Dexamethasone 0.5/Orally,DEXAZONE 0.5 mg 20 tab,طبيب أسرة,No
Dexamethasone 0.5/Orally,DEXAZONE 0.5 mg 10 tab,طبيب أسرة,No
Dexamethasone 8/Orally,Methabiogen 8 mg 30  tab,طبيب أسرة,No
Dexamethasone 8/Orally,Methabiogen 8 mg 10  tab,طبيب أسرة,No
"Dexamethasone 4/I.M, I.V infusion",Dexamethasone sodium phosphate-AMRIYA USP 42 8 mg/2ml amp ,طبيب أسرة,No
"Dexamethasone 4/I.M, I.V infusion",Dexamethasone - MUP 8 mg/2ml  amp,طبيب أسرة,No
"Dexamethasone 4/I.M, I.V infusion",DEXAMETHASONE SODIUM PHOSPHATE-EPICO USP2022 8mg/2ml AMP,طبيب أسرة,No
"Dexamethasone 4/I.M, I.V infusion",Dexamethasone - EGYPHARMA 8 mg2ml amp,طبيب أسرة,No
"Dexamethasone 4/I.M, I.V infusion",Jectacortin 8 mg2ml amp,طبيب أسرة,No
"Dexamethasone 6/I.M, I.V infusion",Dexamethasone sodium Phosphate -DGP 8mg/2ml amp,طبيب أسرة,No
"Betamethasone 10/4I.M, Intra-articular",Durafos 10mg/2ml 3 amp,أخصائي,No
"Betamethasone 10/4I.M, Intra-articular",Durafos 10mg/2ml amp,أخصائي,No
"Betamethasone 12.86/5.26I.M, Intra-articular",Sunnymethasone 2ml amp,أخصائي,No
Hydrocortisone 10/Orally,"Micort 10mg 10 tab
",أخصائي,No
Deflazacort 6/Orally,Flacort 6 mg 20 tab,أخصائي,No
Deflazacort 6/Orally,Flacort 6 mg 10 tab,أخصائي,No
Deflazacort 30/Orally,Flacort 30 mg 20 tab,أخصائي,No
Deflazacort 30/Orally,Flacort 30 mg 10 tab,أخصائي,No
Testosterone 250/I.M,Cidotestone 250 mg /ml amp,أخصائي,Protocol
Testosterone 30/60/60 I.M,Gonateston 250 mg/ml amp,أخصائي,Protocol
Testosterone 30/100/60 I.M,Testonon 250 mg/ml amp,أخصائي,Protocol
Norethisterone 5/Orally,STERONATE 5 mg 10 tab,أخصائي,Protocol
Norethisterone 5/Orally,STERONATE 5 mg 20 tab,أخصائي,Protocol
Progesterone 100/I.M,progesing 100 mg/2ml 10 amp,أخصائي,Protocol
Progesterone 100/I.M,Prontogest 100 mg/2ml 10 amp,أخصائي,Protocol
Progesterone 100/I.M,Prontogest 100 mg/2ml amp,أخصائي,Protocol
Progesterone 150/I.M,Oxyprogest 150 mgml vial,أخصائي,Protocol
Progesterone 100/Orally,PROGEST 100 mg 24 cap,أخصائي,Protocol
Progesterone 100/Orally,PROGEST 100 mg 12 cap,أخصائي,Protocol
Progesterone 100/Vaginal,ENDOMETRIN 100mg 21 vaginal tablets,أخصائي,Protocol
Progesterone 100/Vaginal,ENDOMETRIN 100mg 3 vaginal tablets,أخصائي,Protocol
"Progesterone 200/Vaginal, Rectal",Prontogest 200 mg 30 rectal/vaginal pessaries,أخصائي,Protocol
"Progesterone 200/Vaginal, Rectal",Prontogest 200 mg 5 rectal/vaginal pessaries,أخصائي,Protocol
"Progesterone 400/Vaginal, Rectal",Prontogest 400 mg 30 rectal/vaginal pessaries,أخصائي,Protocol
"Progesterone 400/Vaginal, Rectal",Prontogest 400 mg 5 rectal/vaginal pessaries,أخصائي,Protocol
Dydrogesterone 10/Orally,Duphastone 10 mg 60 tab,أخصائي,Protocol
Dydrogesterone 10/Orally,Duphastone 10 mg 20tab,أخصائي,Protocol
"Neutral insulin injection (human) 100/I.V, S.C",Actrapid 100 I.U./ml 10 ml vial,أخصائي,Conditional Pre-authorization
"Neutral insulin injection (human) 100/I.V, S.C",INSULIN H BIO R 100 I.U/ml 10 ml vial,أخصائي,Conditional Pre-authorization
"Neutral insulin injection (human) 100/I.V, S.C",Insulinagypt R 100 i.u./ml 10 ml vial,أخصائي,Conditional Pre-authorization
Neutral insulin injection (human) 100/S.C,Insulinagypt R 100I.U./ml 3ml 5 cartidge,أخصائي,Conditional Pre-authorization
Neutral insulin injection (human) 100/S.C,Insulinagypt R 100 I.U./ml 3ml 1 cartidge,أخصائي,Conditional Pre-authorization
Neutral insulin injection (human) 100/S.C,Actrapid Penfill 100 I.U./ml 3ml 5 cartidge,أخصائي,Conditional Pre-authorization
Neutral insulin injection (human) 100/S.C,Actrapid Penfill 100 I.U./ml 3ml 1 cartidge,أخصائي,Conditional Pre-authorization
Neutral insulin injection (human) 100/S.C,HUMULIN R 100 I.U/ml 3ml 5 cartridge,أخصائي,Conditional Pre-authorization
Neutral insulin injection (human) 100/S.C,HUMULIN R 100 I.U/ml 3ml 1 cartridge,أخصائي,Conditional Pre-authorization
"Insulin aspart 100/I.V, S.C",Novorapid Penfill 100 I.U./ml 3ml 5 cartidge,أخصائي,Conditional Pre-authorization
"Insulin aspart 100/I.V, S.C",Novorapid Penfill 100 I.U./ml 3ml 1 cartidge,أخصائي,Conditional Pre-authorization
"Insulin aspart 100/I.V, S.C",Novorapid flexpen 100 I.U./ml 3ml 5 PFP,أخصائي,Conditional Pre-authorization
"Insulin aspart 100/I.V, S.C",Novorapid flexpen 100 I.U./ml 3ml 1 PFP,أخصائي,Conditional Pre-authorization
insulin glulisine 3.49/S.C,APIDRA 100 I.U/ml 3ml 5 Cartridge,أخصائي,Conditional Pre-authorization
insulin glulisine 3.49/S.C,APIDRA 100 I.U/ml 3ml 1 Cartridge,أخصائي,Conditional Pre-authorization
insulin glulisine 3.49/S.C,APIDRA SOLOSTAR 100 I.U/ml 3ml 5 PFP,أخصائي,Conditional Pre-authorization
insulin glulisine 3.49/S.C,APIDRA SOLOSTAR 100 I.U/ml 3ml 1 PFP,أخصائي,Conditional Pre-authorization
insulin lispro 100/S.C,HUMALOG 100 U/ml 3ml 5 cartridge,أخصائي,Conditional Pre-authorization
insulin lispro 100/S.C,HUMALOG 100 U/ml 3ml 1 cartridge,أخصائي,Conditional Pre-authorization
insulin lispro 100/S.C,Humalog kwikpen 100 U/ml 3ml 5 PFP ,أخصائي,Conditional Pre-authorization
insulin lispro 100/S.C,Humalog kwikpen 100 U/ml 3ml 1 PFP ,أخصائي,Conditional Pre-authorization
insulin lispro 200/S.C,Humalog KwikPen 200 I.U/ml 3ml 5 PFP,أخصائي,Conditional Pre-authorization
insulin lispro 200/S.C,Humalog KwikPen 200 I.U/ml 3ml 1 PFP,أخصائي,Conditional Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,Insulatard 100 I.U/ml 10 ml Vial,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,Insulinagypt N 100 I.U./ml 10 ml vial,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,INSULIN H BIO NPH 100 I.U./ml 10 ml vial,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,Insulinagypt N 100 I.U.ml 3 ml 1 cartidge,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,Insulinagypt N 100 I.U.ml 3 ml 5 cartidge,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,Insulatard Penfill 100 I.U/ml 3ml 5 cartidge,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,Insulatard Penfill 100 I.U/ml 3ml 1 cartidge,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,HUMULIN N 100 I.U/ml 3ml 5 cartridge,أخصائي,Pre-authorization
Isophane insulin (Neutral Protamine Hagedorn) 100/S.C,HUMULIN N 100 I.U/ml 3ml 1 cartridge,أخصائي,Pre-authorization
Neutral insulin injection + Isophane insulin 70/30S.C,Mixtard 70/30 I.U/ml 10 ml Vial,طبيب أسرة,Pre-authorization
Neutral insulin injection + Isophane insulin 70/30S.C,Human Insulin Vacsera-Biotin 70/30 I.U/ml 10 ml vial,طبيب أسرة,pre-authorization
Neutral insulin injection + Isophane insulin 70/30S.C,INSULIN H MIX 70/30 I.U/ml 10 ml vial,طبيب أسرة,pre-authorization
Neutral insulin injection + Isophane insulin 70/30S.C,Insulinagypt-MUP 70/30 I.U./ml 10 ml vial,طبيب أسرة,pre-authorization
Neutral insulin injection + Isophane insulin 70/30S.C, Insunil H Mix-Nile 70/30 I.U/ml 10 ml vial,طبيب أسرة,pre-authorization
